Date,Open,High,Low,Close,Adj Close,Volume
13-01-2014,29.156,34.639999,27.334,34.001999,34.001999,377771500
20-01-2014,34.248001,36.476002,34.161999,34.919998,34.919998,161445000
27-01-2014,35.032001,37.200001,32.942001,36.282001,36.282001,179095500
03-02-2014,36.577999,37.326,33.872002,37.306,37.306,167446500
10-02-2014,37.868,40.543999,37.863998,39.646,39.646,215208000
17-02-2014,41.048,43.042,38.681999,41.919998,41.919998,256614500
24-02-2014,41.751999,53,41.664001,48.962002,48.962002,490501500
03-03-2014,47.452,52,46.998001,49.242001,49.242001,214720000
10-03-2014,48.540001,49.5,45.664001,46.194,46.194,204093000
17-03-2014,46.990002,48.310001,45.5,45.778,45.778,146305000
24-03-2014,45.950001,45.98,40.599998,42.473999,42.473999,226410000
31-03-2014,43.299999,47.146,41.278,42.445999,42.445999,244015000
07-04-2014,41.161999,43.689999,39.720001,40.756001,40.756001,190907000
14-04-2014,41.52,41.688,36.863998,39.624001,39.624001,172456500
21-04-2014,39.416,43.866001,38.799999,39.970001,39.970001,174252000
28-04-2014,40,42.804001,38.099998,42.181999,42.181999,133942000
05-05-2014,41.896,43.731998,35.444,36.452,36.452,247574000
12-05-2014,36.773998,38.695999,35.976002,38.312,38.312,150171500
19-05-2014,38.144001,41.551998,38,41.459999,41.459999,128122500
26-05-2014,41.703999,42.959999,41.051998,41.554001,41.554001,100549000
02-06-2014,41.466,42.161999,40.080002,41.633999,41.633999,95423500
09-06-2014,41.59,41.998001,39.849998,41.284,41.284,99179500
16-06-2014,41.352001,47.108002,41.251999,45.917999,45.917999,235942500
23-06-2014,45.902,48.375999,45.644001,47.812,47.812,162125000
30-06-2014,47.91,48.897999,44.799999,45.849998,45.849998,111794000
07-07-2014,45.5,45.956001,42.854,43.625999,43.625999,130057500
14-07-2014,43.998001,45.757999,42.720001,44.004002,44.004002,129346500
21-07-2014,43.450001,45.394001,43.344002,44.714001,44.714001,79840500
28-07-2014,44.849998,47.5,44.208,46.653999,46.653999,172347000
04-08-2014,46.875999,51.338001,46.653999,49.625999,49.625999,165833000
11-08-2014,51.096001,53.127998,50.916,52.402,52.402,147053500
18-08-2014,52.650002,53.452,50.324001,51.355999,51.355999,99804500
25-08-2014,51.638,54.400002,51.638,53.939999,53.939999,102066000
01-09-2014,55.099998,58.284,54.501999,55.478001,55.478001,180681500
08-09-2014,55.523998,57.098,54.731998,55.84,55.84,104662000
15-09-2014,54.874001,54.880001,49.826,51.863998,51.863998,202183500
22-09-2014,51,51.203999,48.942001,49.32,49.32,131259500
29-09-2014,48.799999,51.299999,47.130001,51.042,51.042,147186000
06-10-2014,51.826,53.108002,47.040001,47.382,47.382,187517500
13-10-2014,47.714001,47.792,43.464001,45.495998,45.495998,217350000
20-10-2014,45.344002,47.560001,45.102001,47.048,47.048,93485000
27-10-2014,46.849998,48.919998,44.062,48.34,48.34,160179000
03-11-2014,48.599998,49.512001,45.700001,48.040001,48.040001,187240000
10-11-2014,47.821999,51.77,47.360001,51.736,51.736,153669500
17-11-2014,51.498001,51.998001,48.433998,48.556,48.556,137447500
24-11-2014,49.040001,49.944,48.127998,48.903999,48.903999,60252000
01-12-2014,48.231998,48.493999,44.452,44.742001,44.742001,148666500
08-12-2014,44.307999,44.972,40.854,41.400002,41.400002,199197000
15-12-2014,41.858002,44.080002,38.529999,43.858002,43.858002,177030000
22-12-2014,44,45.700001,43.652,45.563999,45.563999,69821500
29-12-2014,45.380001,45.582001,42.652,43.862,43.862,63838000
05-01-2015,42.91,43.299999,40.841999,41.332001,41.332001,113548000
12-01-2015,40.610001,41.521999,37,38.613998,38.613998,153996000
19-01-2015,38.773998,40.700001,37.408001,40.257999,40.257999,81058500
26-01-2015,40.366001,41.723999,39.299999,40.720001,40.720001,78601000
02-02-2015,40.793999,45.096001,40.66,43.472,43.472,95238000
09-02-2015,43.076,44.099998,38.655998,40.754002,40.754002,202363000
16-02-2015,41.139999,43.52,40.299999,43.422001,43.422001,89147000
23-02-2015,43.132,43.639999,40.34,40.667999,40.667999,146839500
02-03-2015,40.540001,41.237999,38.43,38.776001,38.776001,140829000
09-03-2015,38.877998,39.236,37.464001,37.736,37.736,134374500
16-03-2015,38.400002,40.917999,37.959999,39.616001,39.616001,140442500
23-03-2015,39.700001,40.757999,36.279999,37,37,123724000
30-03-2015,37.169998,38.751999,36.360001,38.200001,38.200001,119605500
06-04-2015,39.599998,42.330002,39.5,42.18,42.18,154873500
13-04-2015,42.088001,42.599998,40.700001,41.358002,41.358002,64328000
20-04-2015,41.355999,44.375999,40.77,43.686001,43.686001,103469000
27-04-2015,44.512001,47.75,44.082001,45.206001,45.206001,154438500
04-05-2015,45.636002,47.900002,44.049999,47.321999,47.321999,148132500
11-05-2015,47.257999,49.880001,47.062,49.768002,49.768002,124497000
18-05-2015,49.400002,50.200001,48.273998,49.546001,49.546001,74883500
25-05-2015,49.535999,50.574001,49.009998,50.16,50.16,71717500
01-06-2015,50.282001,50.32,49.136002,49.827999,49.827999,59485000
08-06-2015,50.169998,51.75,49.700001,50.138,50.138,72745000
15-06-2015,49.939999,52.872002,49.202,52.501999,52.501999,74647500
22-06-2015,52.43,54.282001,51.138,53.417999,53.417999,87659000
29-06-2015,52.389999,56.490002,52.139999,56.004002,56.004002,79154500
06-07-2015,55.776001,56.338001,50.862,51.830002,51.830002,111965500
13-07-2015,52.450001,55.108002,51.209999,54.931999,54.931999,67548000
20-07-2015,55,57.330002,52.172001,53.082001,53.082001,96279500
27-07-2015,52.486,53.872002,50.158001,53.23,53.23,78186500
03-08-2015,53.257999,54.200001,47.223999,48.501999,48.501999,154087500
10-08-2015,47.630001,49.585999,46.548,48.630001,48.630001,106164000
17-08-2015,51.112,52.189999,46.102001,46.153999,46.153999,132360000
24-08-2015,40.557999,50.290001,39,49.695999,49.695999,160208000
31-08-2015,49.124001,50.990002,47.394001,48.386002,48.386002,113341000
07-09-2015,49.009998,50.849998,48.810001,50.048,50.048,57944000
14-09-2015,50.220001,53.099998,49.900002,52.124001,52.124001,87952000
21-09-2015,52.796001,54.313999,51.16,51.382,51.382,98035000
28-09-2015,51.470001,51.958,46.986,49.514,49.514,112654500
05-10-2015,49.768002,49.967999,43.672001,44.138,44.138,140103500
12-10-2015,44.598,46.096001,42.226002,45.402,45.402,96454500
19-10-2015,45.299999,46.23,40.400002,41.818001,41.818001,143100500
26-10-2015,42.276001,43.419998,40.778,41.386002,41.386002,79416500
02-11-2015,41.784,46.916,41.444,46.472,46.472,159644500
09-11-2015,46.598,46.598,41.304001,41.438,41.438,90809500
16-11-2015,41.217999,45.237999,41.16,44.001999,44.001999,73955500
23-11-2015,43.470001,46.450001,42.936001,46.321999,46.321999,54733500
30-11-2015,46.358002,47.720001,45.532001,46.076,46.076,74442500
07-12-2015,45.540001,47.125999,43.327999,43.403999,43.403999,71150000
14-12-2015,43.501999,47.551998,42.973999,46.091999,46.091999,82443000
